,FATAL,INCAPACITATING INJURY,NO INDICATION OF INJURY,NONINCAPACITATING INJURY,"REPORTED, NOT EVIDENT"
ROADWAY_SURFACE_COND[T.UNKNOWN],-0.006493572963211656,-0.019388088113278204,0.04056430111404726,-0.006486028361700703,0.0005509464452978753
ROADWAY_SURFACE_COND[T.WET],-0.012970617758632993,-0.022617001366245497,0.05263480795709501,-0.013635123319015917,0.004623142369239791
ROAD_DEFECT[T.NO DEFECTS],-0.0540891583638952,-0.03931161587064452,0.1593388875262869,-0.005448117861321349,-0.012633146255337074
ROAD_DEFECT[T.OTHER],-0.00020318674767612772,-0.0009679298711973409,0.005741827461752404,-0.003721843135089271,-0.00017614407440872927
"ROAD_DEFECT[T.RUT, HOLES]",-0.0015306606535554663,-0.0027195692556252387,0.012551770182694657,-0.004800688978892305,-0.001668349820675614
ROAD_DEFECT[T.SHOULDER DEFECT],.,0.0003560968806953697,0.0006054311323349524,-0.0007237868388668499,-0.0003125394600883042
ROAD_DEFECT[T.UNKNOWN],-0.012361321897210566,-0.030284582484402925,0.06346529325858093,-0.00866776475048726,-0.0006558780913048357
ROAD_DEFECT[T.WORN SURFACE],0.0004533533834598365,-0.0007180193288742347,0.0019475638307888106,-0.0018283456647014713,0.00012861651996567725
REPORT_TYPE[T.NO REPORT],0.030386222308611602,0.022368337402280423,-0.02125844215437131,-0.012545194417810034,-0.019059650839321807
REPORT_TYPE[T.NOT ON SCENE (DESK REPORT)],-0.05682607347457873,-0.17576791631467004,0.49594665654686,-0.07164201512127541,0.12698116220798628
REPORT_TYPE[T.ON SCENE],-0.0463890100960375,0.02899938834527183,0.12337808454786615,0.034488783271828236,-0.14179761942952468
CRASH_TYPE[T.NO INJURY / DRIVE AWAY],-0.04005724937414309,-0.2138301807372556,2.0754468823389516,-0.5726507087532877,-0.5096826490498884
"DAMAGE[T.$501 - $1,500]",-0.024429347691891798,-0.05064660819527684,0.13041916324829844,-0.02138410352961846,0.003962500460781929
"DAMAGE[T.OVER $1,500]",-0.02381271396624182,-0.0062401573548048735,0.247032408781724,-0.08548887079572243,-0.07728189970192166
PRIM_CONTRIBUTORY_CAUSE[T.BICYCLE ADVANCING LEGALLY ON RED LIGHT],.,0.00010998822493597203,-0.00014571840519797137,.,.
PRIM_CONTRIBUTORY_CAUSE[T.CELL PHONE USE OTHER THAN TEXTING],-0.00018633773693137735,.,0.00035549350725565753,.,-0.00019151376049716753
PRIM_CONTRIBUTORY_CAUSE[T.DISREGARDING OTHER TRAFFIC SIGNS],.,0.0015769596775060807,0.0010446481113213439,-0.002285031742289862,-0.0002515251359814082
PRIM_CONTRIBUTORY_CAUSE[T.DISREGARDING ROAD MARKINGS],0.00011046523084836089,-0.0004350104827625785,0.0003583071290026943,0.00013404812461055495,-0.00017072672981565022
PRIM_CONTRIBUTORY_CAUSE[T.DISREGARDING STOP SIGN],-0.0017754748955682855,-0.0009204735244441149,0.003583683744481793,-0.0003939935136864209,-0.0004422709926257279
PRIM_CONTRIBUTORY_CAUSE[T.DISREGARDING TRAFFIC SIGNALS],0.004762543800082862,0.023391130739719036,-0.001163778713828076,-0.008554625260404725,-0.015253204481123233
PRIM_CONTRIBUTORY_CAUSE[T.DISREGARDING YIELD SIGN],-0.00012334030474454277,.,.,0.00022279558934282538,.
PRIM_CONTRIBUTORY_CAUSE[T.DISTRACTION - FROM INSIDE VEHICLE],-0.0005853971348655312,-0.003066407813207393,0.0011269553952228627,0.0016977485977542684,0.000678999637142965
PRIM_CONTRIBUTORY_CAUSE[T.DISTRACTION - FROM OUTSIDE VEHICLE],.,-0.0008052122409384822,0.0010605018427463585,-0.0001519886740915725,.
"PRIM_CONTRIBUTORY_CAUSE[T.DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)]",.,-0.0004207373533114625,0.00018838314899654256,.,0.00013315549840494138
PRIM_CONTRIBUTORY_CAUSE[T.DRIVING ON WRONG SIDE/WRONG WAY],0.0017965407317477615,0.005194909146417052,-0.0010360530723835738,-0.0031854968820291397,-0.002100379171519386
PRIM_CONTRIBUTORY_CAUSE[T.DRIVING SKILLS/KNOWLEDGE/EXPERIENCE],-0.006061060902394445,-0.008610520833298059,0.027505226566775166,-0.003414611864685375,-0.00334779348405818
PRIM_CONTRIBUTORY_CAUSE[T.EQUIPMENT - VEHICLE CONDITION],-0.0021039305358314044,-0.0023345298804988905,0.012480433705054576,-0.004222414660091449,-0.0018142146147117459
"PRIM_CONTRIBUTORY_CAUSE[T.EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST]",0.00012220240083709414,-0.0009664177129164388,0.000999456907147151,0.00026512044115680074,-0.00039171516471609596
PRIM_CONTRIBUTORY_CAUSE[T.EXCEEDING AUTHORIZED SPEED LIMIT],0.002665483048613927,0.0020290647715663266,0.0007154792082794687,-0.0024504474958910744,-0.0031239745043353004
PRIM_CONTRIBUTORY_CAUSE[T.EXCEEDING SAFE SPEED FOR CONDITIONS],0.00017545892971310677,-0.00021433969438010484,0.001988928988289277,-0.0012259114480449793,-0.0006121419146475686
PRIM_CONTRIBUTORY_CAUSE[T.FAILING TO REDUCE SPEED TO AVOID CRASH],0.001637435566265816,0.006147621555741663,-0.004150023141277569,0.0018664835296706855,-0.0049755070442425485
PRIM_CONTRIBUTORY_CAUSE[T.FAILING TO YIELD RIGHT-OF-WAY],-0.017092127430084886,0.010835924403819893,-0.03800144668926715,0.03754625663951689,0.0038034290912120866
PRIM_CONTRIBUTORY_CAUSE[T.FOLLOWING TOO CLOSELY],-0.014179938958631831,-0.03385680713177583,0.0003625402420937112,-0.0037286415995731936,0.06638982779718489
PRIM_CONTRIBUTORY_CAUSE[T.HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE)],.,.,.,-0.00036197403548198144,0.00024578870821403715
PRIM_CONTRIBUTORY_CAUSE[T.IMPROPER BACKING],-0.0023758318008765627,-0.006320965835527464,0.019251894834459212,-0.00552288254372768,.
PRIM_CONTRIBUTORY_CAUSE[T.IMPROPER LANE USAGE],-0.0027982727687615705,-0.003266436503277023,0.015528904848865994,-0.006605430607365215,0.0001794252446661355
PRIM_CONTRIBUTORY_CAUSE[T.IMPROPER OVERTAKING/PASSING],-0.0030321687281431578,-0.00997965275558491,0.01817399299781947,-0.00035513496521140516,-0.0006789388154882116
PRIM_CONTRIBUTORY_CAUSE[T.IMPROPER TURNING/NO SIGNAL],-0.005573903121189052,-0.01103408458149627,0.011990294768938243,0.002974223622946105,0.0017318100527774494
PRIM_CONTRIBUTORY_CAUSE[T.MOTORCYCLE ADVANCING LEGALLY ON RED LIGHT],.,.,.,.,.
PRIM_CONTRIBUTORY_CAUSE[T.NOT APPLICABLE],0.003069512635508228,-0.0081069015166119,0.0222769330252108,-0.0018554967844946154,-0.010890156084975115
PRIM_CONTRIBUTORY_CAUSE[T.OBSTRUCTED CROSSWALKS],.,-0.00011827847792831938,.,.,0.00016240821129229793
"PRIM_CONTRIBUTORY_CAUSE[T.OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER]",0.0035426050436751055,0.009465570412658513,-0.0022044730968563014,-0.002028583008614508,-0.008320086441569086
PRIM_CONTRIBUTORY_CAUSE[T.PASSING STOPPED SCHOOL BUS],.,.,-0.00014710142859460673,.,0.00015838614514029412
PRIM_CONTRIBUTORY_CAUSE[T.PHYSICAL CONDITION OF DRIVER],0.010997337278636646,0.009817339492431828,-0.01153930104127602,0.00010330474140540137,-0.009566316685382029
PRIM_CONTRIBUTORY_CAUSE[T.RELATED TO BUS STOP],.,-0.0003481554424612159,.,0.00024882489827062984,0.00013812656495977717
PRIM_CONTRIBUTORY_CAUSE[T.ROAD CONSTRUCTION/MAINTENANCE],-0.0005472713407972691,-0.0017500352619808518,0.004231912334903558,-0.0004394847940788308,-0.0008504221633132154
PRIM_CONTRIBUTORY_CAUSE[T.ROAD ENGINEERING/SURFACE/MARKING DEFECTS],-0.00042534991455787366,-0.0010811627143013773,0.005555678002999413,-0.0013063584943211184,-0.0017503888257455634
PRIM_CONTRIBUTORY_CAUSE[T.TEXTING],.,.,.,0.00030384826659749463,-0.00022123725719899623
