,0
WORK_ZONE_TYPE[T.MAINTENANCE],0.0016166461017063252
WORK_ZONE_TYPE[T.UNKNOWN],-6.126243520981109e-06
WORK_ZONE_TYPE[T.UTILITY],0.0031092429930631897
WORKERS_PRESENT_I[T.Y],0.009159014501658418
CRASH_HOUR[T.1],-0.018763817912282817
CRASH_HOUR[T.2],-0.03371110168240108
CRASH_HOUR[T.3],-0.027832766551373008
CRASH_HOUR[T.4],-0.030931292139521286
CRASH_HOUR[T.5],-0.009806602702930588
CRASH_HOUR[T.6],0.015386771665044761
CRASH_HOUR[T.7],0.07037113709260866
CRASH_HOUR[T.8],0.09515903987182583
CRASH_HOUR[T.9],0.09409923488557148
CRASH_HOUR[T.10],0.09243787117986584
CRASH_HOUR[T.11],0.09054324645060371
CRASH_HOUR[T.12],0.09767105185223919
CRASH_HOUR[T.13],0.058177233276889506
CRASH_HOUR[T.14],0.04322909577787825
CRASH_HOUR[T.15],0.08601819362966368
CRASH_HOUR[T.16],0.10217249553565284
CRASH_HOUR[T.17],0.10212343018031374
CRASH_HOUR[T.18],0.08070559369039446
CRASH_HOUR[T.19],0.05302578011586961
CRASH_HOUR[T.20],0.03210354054212095
CRASH_HOUR[T.21],0.008707452556484323
CRASH_HOUR[T.22],0.0057213755127329645
CRASH_HOUR[T.23],0.0023988832662010908
CRASH_DAY_OF_WEEK[T.2],0.0387486238116214
CRASH_DAY_OF_WEEK[T.3],0.04536145644942986
CRASH_DAY_OF_WEEK[T.4],0.04942971824725231
CRASH_DAY_OF_WEEK[T.5],0.043459733420806196
CRASH_DAY_OF_WEEK[T.6],0.04458631664107474
CRASH_DAY_OF_WEEK[T.7],0.02110613797125765
CRASH_MONTH[T.2],0.005634876760636912
CRASH_MONTH[T.3],-0.0012495636408954784
CRASH_MONTH[T.4],-0.015219218729792162
CRASH_MONTH[T.5],-0.015087953224465137
CRASH_MONTH[T.6],-0.025001482030317886
CRASH_MONTH[T.7],-0.032694406057503844
CRASH_MONTH[T.8],-0.029818203336536255
CRASH_MONTH[T.9],-0.022803864651987187
CRASH_MONTH[T.10],-0.024674655069904364
CRASH_MONTH[T.11],-0.019947374066788023
CRASH_MONTH[T.12],-0.026447672035188243
Crash_Year[T.2014],-0.0009904718217978953
Crash_Year[T.2015],0.038089554965023704
Crash_Year[T.2016],0.07684825264180278
Crash_Year[T.2017],0.05393401975153261
Crash_Year[T.2018],0.03183192913559051
Crash_Year[T.2019],0.029652093957255054
Crash_Year[T.2020],-0.005289082109211348
Crash_Year[T.2021],-0.018198481126627784
Crash_Year[T.2022],-0.0192730957809226
Crash_Year[T.2023],-0.005919624803894324
Crash_Year[T.2024],-0.001640368684965249
Police_district[T.District 02],-0.04900858131757721
Police_district[T.District 03],-0.10549225582910732
Police_district[T.District 04],-0.09552633137388418
Police_district[T.District 05],-0.07451239387433323
Police_district[T.District 06],-0.10575937829422241
Police_district[T.District 07],-0.08070357419802454
Police_district[T.District 08],-0.02844806322761314
Police_district[T.District 09],-0.013785072492832813
Police_district[T.District 10],-0.03606105388918789
Police_district[T.District 11],-0.1278175675768299
Police_district[T.District 12],-0.02905553421987152
Police_district[T.District 14],-0.018072587723124207
Police_district[T.District 15],-0.07230232008163315
Police_district[T.District 16],-0.028866947014352027
Police_district[T.District 17],-0.00963770653957729
Police_district[T.District 18],0.011937908240929853
Police_district[T.District 19],-0.0013810289318647781
Police_district[T.District 20],0.008409896618081265
Police_district[T.District 22],-0.05310471588743428
Police_district[T.District 24],-0.008287409337999095
Police_district[T.District 25],-0.047571673414707985
Police_district[T.UNKNOWN],0.002367240370620466
POSTED_SPEED_LIMIT,-0.1326353259033832
NUM_UNITS,-0.3440447889531263
Report_vs_Police_Notified,0.05631681388072194
