,FATAL,INCAPACITATING INJURY,NO INDICATION OF INJURY,NONINCAPACITATING INJURY,"REPORTED, NOT EVIDENT"
PRIM_CONTRIBUTORY_CAUSE[T.DRIVING ON WRONG SIDE/WRONG WAY],0.0,0.0,-0.02108420917669931,0.0,0.0
PRIM_CONTRIBUTORY_CAUSE[T.DRIVING SKILLS/KNOWLEDGE/EXPERIENCE],0.0,0.0,0.012922769947222303,0.0,0.0
PRIM_CONTRIBUTORY_CAUSE[T.EQUIPMENT - VEHICLE CONDITION],0.0,0.0,0.0,0.0,0.0
"PRIM_CONTRIBUTORY_CAUSE[T.EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST]",0.0,0.0,0.0,0.0,0.0
PRIM_CONTRIBUTORY_CAUSE[T.EXCEEDING AUTHORIZED SPEED LIMIT],0.0,0.0,-0.017644343225744864,0.0,0.0
PRIM_CONTRIBUTORY_CAUSE[T.EXCEEDING SAFE SPEED FOR CONDITIONS],0.0,0.0,0.0,0.0,0.0
PRIM_CONTRIBUTORY_CAUSE[T.FAILING TO REDUCE SPEED TO AVOID CRASH],0.0,0.0,-0.060199823828704604,0.0,0.0
PRIM_CONTRIBUTORY_CAUSE[T.FAILING TO YIELD RIGHT-OF-WAY],0.0,0.0,-0.04910935566855741,0.0066494946214571814,0.0
PRIM_CONTRIBUTORY_CAUSE[T.FOLLOWING TOO CLOSELY],0.0,0.0,0.0,0.0,0.01896984540562366
PRIM_CONTRIBUTORY_CAUSE[T.HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE)],0.0,0.0,0.0,0.0,0.0
PRIM_CONTRIBUTORY_CAUSE[T.IMPROPER BACKING],0.0,0.0,0.12964674599637172,0.0,0.0
PRIM_CONTRIBUTORY_CAUSE[T.IMPROPER LANE USAGE],0.0,0.0,0.0,0.0,0.0
PRIM_CONTRIBUTORY_CAUSE[T.IMPROPER OVERTAKING/PASSING],0.0,0.0,0.007476188848337833,0.0,0.0
